postcode,Suburb,lat,lon,Region,Average_per_person,website
3047,BROADMEADOWS,-37.680792,144.921009,North Western Melbourne,170,"https://www.google.com/maps/place/Broadmeadows+VIC+3047/@-37.7182712,144.9067349,15z/data=!4m5!3m4!1s0x6ad65bea11574fe9:0x5045675218cd0f0!8m2!3d-37.685!4d144.925"
3051,NORTH MELBOURNE,-37.905996,145.056254,Inner Melbourne,260,"https://www.google.com/maps/place/North+Melbourne+VIC+3051/@-37.7968057,144.9381133,15z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d283acb6965:0x5045675218ce760!8m2!3d-37.799167!4d144.946667"
3052,PARKVILLE,-37.788531,144.947731,Inner Melbourne,260,"https://www.google.com/maps/place/Parkville+VIC+3052/@-37.7968057,144.9381133,15z/data=!4m5!3m4!1s0x6ad65cd73202124d:0x5045675218ce710!8m2!3d-37.788!4d144.951"
3053,CARLTON,-37.784337,144.969747,Inner Melbourne,260,"https://www.google.com/maps/place/Carlton+VIC+3053/@-37.8000912,144.9583385,15z/data=!3m1!4b1!4m5!3m4!1s0x6ad642d153982dd1:0x5045675218ce780!8m2!3d-37.8001!4d144.9671"
3054,CARLTON NORTH,-37.784337,144.969747,Inner Melbourne,243,"https://www.google.com/maps/place/Carlton+North+VIC+3054/@-37.8000912,144.9583385,15z/data=!4m5!3m4!1s0x6ad64331c4841339:0x5045675218cd740!8m2!3d-37.7890434!4d144.9694441"
3056,BRUNSWICK,-37.764829,144.943778,North Western Melbourne,225,"https://www.google.com/maps/place/Brunswick+VIC+3056/@-37.7666905,144.9453454,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad65cb927b1a969:0x5045675218cd5b0!8m2!3d-37.7667!4d144.9628"
3058,COBURG,-37.743188,144.966279,North Western Melbourne,199,"https://www.google.com/maps/place/Coburg+VIC+3058/@-37.7449263,144.9471847,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad644c098f4d5eb:0x5045675218cd430!8m2!3d-37.7438!4d144.9645"
3058,COBURG NORTH,-37.730842,144.971699,North Western Melbourne,191,"https://www.google.com/maps/place/Coburg+North+VIC+3058/@-37.7270727,144.9501383,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad6452338429ea1:0x5045675218cd350!8m2!3d-37.726!4d144.96"
3060,FAWKNER,-37.759823,144.89571,North Western Melbourne,180,"https://www.google.com/maps/place/Fawkner+VIC+3060/@-37.7048138,144.9518916,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad645326f4c077d:0x5045675218cd1f0!8m2!3d-37.707!4d144.968"
3064,CRAIGIEBURN,-37.598975,144.941287,North Western Melbourne,162,"https://www.google.com/maps/place/Craigieburn+VIC+3064/@-37.5813562,144.8525037,12z/data=!3m1!4b1!4m5!3m4!1s0x6ad6523220f38a83:0x5045675218ccea0!8m2!3d-37.594!4d144.934"
3064,ROXBURGH PARK,-37.636795,144.932604,North Western Melbourne,170,"https://www.google.com/maps/place/Roxburgh+Park+VIC+3064/@-37.6257409,144.9079333,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad651ae6014515b:0x5045675218ccf90!8m2!3d-37.627!4d144.929"
3065,FITZROY,-37.800917,144.979165,Inner Melbourne,295,"https://www.google.com/maps/place/Fitzroy+VIC+3065/@-37.8009169,144.9704107,15z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c0f56a65c1:0x5045675218ce790!8m2!3d-37.801111!4d144.978889"
3066,COLLINGWOOD,-37.800366,144.984149,Inner Melbourne,265,"https://www.google.com/maps/place/Collingwood+VIC+3066/@-37.8018761,144.9793951,15z/data=!3m1!4b1!4m8!1m2!2m1!1sCOLLINGWOOD!3m4!1s0x6ad642e19df445ad:0x5045675218ce7a0!8m2!3d-37.8019!4d144.98815"
3067,ABBOTSFORD,-37.801781,144.998752,Inner Melbourne,265,"https://www.google.com/maps/place/Abbotsford+VIC+3067/@-37.8037161,144.994848,15z/data=!3m1!4b1!4m5!3m4!1s0x6ad64300c7048673:0x5045675218ce7b0!8m2!3d-37.803!4d145.002"
3068,CLIFTON HILL,-37.788118,144.992067,Inner Melbourne,245,"https://www.google.com/maps/place/Clifton+Hill+VIC+3068/@-37.8037161,144.994848,15z/data=!4m5!3m4!1s0x6ad6430dab62da09:0x5045675218cd780!8m2!3d-37.789!4d144.999"
3068,FITZROY NORTH,-37.7834,144.984688,Inner Melbourne,245,"https://www.google.com/maps/place/Fitzroy+North+VIC+3068/@-37.7892981,144.9880853,15z/data=!4m5!3m4!1s0x6ad643152843f2af:0x5045675218cd710!8m2!3d-37.784!4d144.986"
3070,NORTHCOTE,-37.769857,144.995276,North Eastern Melbourne,242,"https://www.google.com/maps/place/Northcote+VIC+3070/@-37.7834471,144.9681604,14z/data=!4m5!3m4!1s0x6ad6437c221de473:0x5045675218cd650!8m2!3d-37.7722!4d144.9994"
3071,THORNBURY,-37.75504,144.998589,North Eastern Melbourne,200,"https://www.google.com/maps/place/Thornbury+VIC+3071/@-37.7584493,144.9882136,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad644627105f5d5:0x5045675218cd530!8m2!3d-37.76!4d145.007"
3072,PRESTON,-37.738736,145.000515,North Eastern Melbourne,199,"https://www.google.com/maps/place/Preston+VIC+3072/@-37.7416434,144.9915718,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad64456e71092f9:0x5045675218cd3c0!8m2!3d-37.743!4d145.008"
3073,RESERVOIR,-37.716897,145.006985,North Eastern Melbourne,175,"https://www.google.com/maps/place/Reservoir+VIC+3073/@-37.7123332,144.9705545,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad64583e8b67cc7:0x5045675218cd200!8m2!3d-37.713056!4d145.011944"
3074,THOMASTOWN,-37.680338,145.014287,North Eastern Melbourne,162,"https://www.google.com/maps/place/Thomastown+VIC+3074/@-37.7123332,144.9705545,13z/data=!4m5!3m4!1s0x6ad64f7392595b09:0x5045675218cd100!8m2!3d-37.682!4d145.014"
3075,LALOR,-37.665857,145.017194,North Eastern Melbourne,162,"https://www.google.com/maps/place/Lalor+VIC+3075/@-37.6832185,144.976472,13z/data=!4m5!3m4!1s0x6ad64f06ef0a1603:0x5045675218cd0b0!8m2!3d-37.667!4d145.02"
