id,university,campus,suburb,distance
197,La Trobe University,Melbourne,MT ELIZA,52.507
198,La Trobe University,Melbourne,MORNINGTON,58.068
199,La Trobe University,Melbourne,MT MARTHA,65.299
200,La Trobe University,Melbourne,DROMANA,68.96
201,La Trobe University,Melbourne,PORTSEA,75.108
202,La Trobe University,Melbourne,HAMPTON PARK,40.261
203,La Trobe University,Melbourne,CRANBOURNE,48.15
204,Monash University,Clayton,CBD,18.243
205,Monash University,Clayton,EAST MELBOURNE,16.901
206,Monash University,Clayton,WEST MELBOURNE,20.849
207,Monash University,Clayton,SOUTHBANK,17.975
208,Monash University,Clayton,DOCKLANDS,19.81
209,Monash University,Clayton,FOOTSCRAY,24.287
210,Monash University,Clayton,SEDDON,24.083
211,Monash University,Clayton,WEST FOOTSCRAY,25.885
212,Monash University,Clayton,YARRAVILLE,24.133
213,Monash University,Clayton,NEWPORT,23.485
214,Monash University,Clayton,SPOTSWOOD,23.86
215,Monash University,Clayton,WILLIAMSTOWN,21.754
216,Monash University,Clayton,ALTONA,27.168
217,Monash University,Clayton,SUNSHINE,30.567
218,Monash University,Clayton,ST ALBANS,34.977
219,Monash University,Clayton,DEER PARK,35.468
220,Monash University,Clayton,HOPPERS CROSSING,38.269
221,Monash University,Clayton,WERRIBEE,41.851
222,Monash University,Clayton,FLEMINGTON,22.727
223,Monash University,Clayton,KENSINGTON,22.479
224,Monash University,Clayton,ASCOT VALE,24.162
225,Monash University,Clayton,KEILOR EAST,35.759
226,Monash University,Clayton,AVONDALE HEIGHTS,34.013
227,Monash University,Clayton,SYDENHAM,40.368
228,Monash University,Clayton,MOONEE PONDS,25.179
229,Monash University,Clayton,ESSENDON,26.098
230,Monash University,Clayton,GLADSTONE PARK,33.492
231,Monash University,Clayton,TULLAMARINE,33.718
232,Monash University,Clayton,PASCOE VALE,27.025
233,Monash University,Clayton,PASCOE VALE SOUTH,25.658
234,Monash University,Clayton,GLENROY,30.308
235,Monash University,Clayton,OAK PARK,28.91
236,Monash University,Clayton,BROADMEADOWS,32.132
237,Monash University,Clayton,NORTH MELBOURNE,6.906
238,Monash University,Clayton,PARKVILLE,21.615
239,Monash University,Clayton,CARLTON,20.518
240,Monash University,Clayton,CARLTON NORTH,20.518
241,Monash University,Clayton,BRUNSWICK,23.669
242,Monash University,Clayton,COBURG,24.177
243,Monash University,Clayton,COBURG NORTH,25.006
244,Monash University,Clayton,FAWKNER,27.173
245,Monash University,Clayton,CRAIGIEBURN,39.084
246,Monash University,Clayton,ROXBURGH PARK,35.709
247,Monash University,Clayton,FITZROY,18.636
248,Monash University,Clayton,COLLINGWOOD,18.361
249,Monash University,Clayton,ABBOTSFORD,17.349
250,Monash University,Clayton,CLIFTON HILL,18.87
251,Monash University,Clayton,FITZROY NORTH,19.693
252,Monash University,Clayton,NORTHCOTE,20.269
253,Monash University,Clayton,THORNBURY,21.447
254,Monash University,Clayton,PRESTON,22.892
255,Monash University,Clayton,RESERVOIR,24.749
256,Monash University,Clayton,THOMASTOWN,28.195
257,Monash University,Clayton,LALOR,29.607
258,Monash University,Clayton,EPPING,32.716
259,Monash University,Clayton,ALPHINGTON,17.493
260,Monash University,Clayton,FAIRFIELD,18.448
261,Monash University,Clayton,IVANHOE,18.142
262,Monash University,Clayton,IVANHOE EAST,17.162
263,Monash University,Clayton,HEIDELBERG WEST,20.178
264,Monash University,Clayton,MILL PARK,28.279
265,Monash University,Clayton,BUNDOORA,24.436
266,Monash University,Clayton,HEIDELBERG,18.645
267,Monash University,Clayton,GREENSBOROUGH,23.61
268,Monash University,Clayton,MONTMORENCY,22.291
269,Monash University,Clayton,ELTHAM,22.463
270,Monash University,Clayton,RESEARCH,23.92
271,Monash University,Clayton,HURSTBRIDGE,31.056
272,Monash University,Clayton,KEW,14.843
273,Monash University,Clayton,BALWYN,12.602
274,Monash University,Clayton,BULLEEN,17.022
275,Monash University,Clayton,TEMPLESTOWE,16.36
276,Monash University,Clayton,DONCASTER,14.758
277,Monash University,Clayton,DONCASTER EAST,12.678
278,Monash University,Clayton,DONVALE,65.591
279,Monash University,Clayton,BURNLEY,14.875
280,Monash University,Clayton,RICHMOND,16.008
281,Monash University,Clayton,HAWTHORN,11.488
282,Monash University,Clayton,CAMBERWELL,12.087
283,Monash University,Clayton,BURWOOD,7.132
284,Monash University,Clayton,CANTERBURY,11.461
285,Monash University,Clayton,MONT ALBERT,10.777
286,Monash University,Clayton,SURREY HILLS,10.545
287,Monash University,Clayton,BOX HILL,10.968
288,Monash University,Clayton,BLACKBURN,10.82
289,Monash University,Clayton,FOREST HILL,9.48
290,Monash University,Clayton,NUNAWADING,11.22
291,Monash University,Clayton,MITCHAM,12.148
292,Monash University,Clayton,VERMONT,10.289
293,Monash University,Clayton,RINGWOOD,13.944
294,Monash University,Clayton,CROYDON,18.292
295,Monash University,Clayton,LILYDALE,25.872
296,Monash University,Clayton,SOUTH YARRA,15.227
297,Monash University,Clayton,TOORAK,13.047
298,Monash University,Clayton,ARMADALE,11.906
299,Monash University,Clayton,MALVERN,11.039
300,Monash University,Clayton,MALVERN EAST,7.115
301,Monash University,Clayton,GLEN IRIS,8.942
302,Monash University,Clayton,ASHBURTON,7.509
303,Monash University,Clayton,CHADSTONE,5.551
304,Monash University,Clayton,MOUNT WAVERLEY,4.483
305,Monash University,Clayton,GLEN WAVERLEY,5.059
306,Monash University,Clayton,BURWOOD EAST,6.352
307,Monash University,Clayton,WANTIRNA,11.206
308,Monash University,Clayton,BAYSWATER,14.28
309,Monash University,Clayton,BORONIA,13.819
310,Monash University,Clayton,FERNTREE GULLY,14.626
311,Monash University,Clayton,CAULFIELD,10.183
312,Monash University,Clayton,CARNEGIE,7.265
313,Monash University,Clayton,MURRUMBEENA,6.444
314,Monash University,Clayton,HUGHESDALE,5.495
315,Monash University,Clayton,OAKLEIGH,4.462
316,Monash University,Clayton,CLAYTON,1.695
317,Monash University,Clayton,MULGRAVE,5.775
318,Monash University,Clayton,SPRINGVALE,6.333
319,Monash University,Clayton,NOBLE PARK,6.867
320,Monash University,Clayton,DANDENONG,10.672
321,Monash University,Clayton,DANDENONG NORTH,8.43
322,Monash University,Clayton,ROWVILLE,9.051
323,Monash University,Clayton,SCORESBY,12.746
324,Monash University,Clayton,PRAHRAN,14.333
325,Monash University,Clayton,WINDSOR,14.09
326,Monash University,Clayton,ST KILDA,14.632
327,Monash University,Clayton,ELWOOD,13.431
328,Monash University,Clayton,ELSTERNWICK,11.903
329,Monash University,Clayton,BRIGHTON,12.501
330,Monash University,Clayton,BRIGHTON EAST,11.598
331,Monash University,Clayton,HAMPTON,12.654
332,Monash University,Clayton,CHELTENHAM,8.778
333,Monash University,Clayton,BEAUMARIS,11.884
334,Monash University,Clayton,MENTONE,9.662
335,Monash University,Clayton,ASPENDALE,12.692
336,Monash University,Clayton,MORDIALLOC,11.031
337,Monash University,Clayton,PARKDALE,10.027
338,Monash University,Clayton,CHELSEA,15.338
339,Monash University,Clayton,CARRUM,17.954
340,Monash University,Clayton,SEAFORD,21.708
341,Monash University,Clayton,FRANKSTON,25.59
342,Monash University,Clayton,CARRUM DOWNS,20.18
343,Monash University,Clayton,BENTLEIGH,8.66
344,Monash University,Clayton,SOUTH MELBOURNE,9.021
345,Monash University,Clayton,ALBERT PARK,17.73
346,Monash University,Clayton,MIDDLE PARK,16.535
347,Monash University,Clayton,PORT MELBOURNE,11.304
348,Monash University,Clayton,LARA,64.826
349,Monash University,Clayton,CORIO,70.278
350,Monash University,Clayton,NORTH GEELONG,72.673
351,Monash University,Clayton,BELMONT,75.179
352,Monash University,Clayton,GROVEDALE,77.798
353,Monash University,Clayton,GEELONG WEST,73.4
354,Monash University,Clayton,HERNE HILL,74.471
355,Monash University,Clayton,GEELONG,72.552
356,Monash University,Clayton,NEWTOWN,74.915
357,Monash University,Clayton,OCEAN GROVE,65.288
358,Monash University,Clayton,BARWON HEADS,69.447
359,Monash University,Clayton,TORQUAY,84.81
360,Monash University,Clayton,WARRNAMBOOL,237.839
361,Monash University,Clayton,HAMILTON,274.444
362,Monash University,Clayton,PORTLAND,314.257
363,Monash University,Clayton,MELTON,54.91
364,Monash University,Clayton,ALFREDTON,122.591
365,Monash University,Clayton,BALLARAT,118.488
366,Monash University,Clayton,MOUNT CLEAR,116.653
367,Monash University,Clayton,WENDOUREE,122.057
368,Monash University,Clayton,DELACOMBE,122.408
369,Monash University,Clayton,SEBASTOPOL,119.162
370,Monash University,Clayton,BUNINYONG,110.979
371,Monash University,Clayton,HORSHAM,291.869
372,Monash University,Clayton,SUNBURY,51.72
373,Monash University,Clayton,CASTLEMAINE,124.665
374,Monash University,Clayton,MILDURA,494.125
375,Monash University,Clayton,BENDIGO,149.311
376,Monash University,Clayton,FLORA HILL,147.33
377,Monash University,Clayton,NORTH BENDIGO,150.232
378,Monash University,Clayton,GOLDEN SQUARE,148.509
379,Monash University,Clayton,KANGAROO FLAT,147.315
380,Monash University,Clayton,ECHUCA,201.817
381,Monash University,Clayton,SWAN HILL,319.666
382,Monash University,Clayton,SHEPPARTON,172.389
383,Monash University,Clayton,SEYMOUR,99.071
384,Monash University,Clayton,BENALLA,172.221
385,Monash University,Clayton,WODONGA,29.528
386,Monash University,Clayton,WHITTLESEA,44.734
387,Monash University,Clayton,ENDEAVOUR HILLS,12.508
388,Monash University,Clayton,NARRE WARREN,19.576
389,Monash University,Clayton,BERWICK,22.493
390,Monash University,Clayton,PAKENHAM,36.324
391,Monash University,Clayton,WARRAGUL,75.109
392,Monash University,Clayton,MOE,103.314
393,Monash University,Clayton,NEWBOROUGH,105.503
394,Monash University,Clayton,MORWELL,116.458
395,Monash University,Clayton,TRARALGON,126.928
396,Monash University,Clayton,SALE,171.023
397,Monash University,Clayton,MAFFRA,161.758
398,Monash University,Clayton,BAIRNSDALE,219.466
399,Monash University,Clayton,HASTINGS,43.961
400,Monash University,Clayton,FLINDERS,63.019
401,Monash University,Clayton,MT ELIZA,30.523
402,Monash University,Clayton,MORNINGTON,36.481
