,university,campus,from suburb,distance
196,La Trobe University,Melboune,BAIRNSDALE,227.838
197,La Trobe University,Melboune,HASTINGS,67.013
198,La Trobe University,Melboune,FLINDERS,84.279
199,La Trobe University,Melboune,MT ELIZA,52.507
200,La Trobe University,Melboune,MORNINGTON,58.068
201,La Trobe University,Melboune,MT MARTHA,65.299
202,La Trobe University,Melboune,DROMANA,68.96
203,La Trobe University,Melboune,PORTSEA,75.108
204,La Trobe University,Melboune,HAMPTON PARK,40.261
205,La Trobe University,Melboune,CRANBOURNE,48.15
206,Monash University,Clayton,CBD,18.243
207,Monash University,Clayton,EAST MELBOURNE,16.901
208,Monash University,Clayton,WEST MELBOURNE,20.849
209,Monash University,Clayton,SOUTHBANK,17.975
210,Monash University,Clayton,DOCKLANDS,19.81
211,Monash University,Clayton,FOOTSCRAY,24.287
212,Monash University,Clayton,SEDDON,24.083
213,Monash University,Clayton,WEST FOOTSCRAY,25.885
214,Monash University,Clayton,YARRAVILLE,24.133
215,Monash University,Clayton,NEWPORT,23.485
216,Monash University,Clayton,SPOTSWOOD,23.86
217,Monash University,Clayton,WILLIAMSTOWN,21.754
218,Monash University,Clayton,ALTONA,27.168
219,Monash University,Clayton,SUNSHINE,30.567
220,Monash University,Clayton,ST ALBANS,34.977
221,Monash University,Clayton,DEER PARK,35.468
222,Monash University,Clayton,HOPPERS CROSSING,38.269
223,Monash University,Clayton,WERRIBEE,41.851
224,Monash University,Clayton,FLEMINGTON,22.727
225,Monash University,Clayton,KENSINGTON,22.479
226,Monash University,Clayton,ASCOT VALE,24.162
227,Monash University,Clayton,KEILOR EAST,35.759
228,Monash University,Clayton,AVONDALE HEIGHTS,34.013
229,Monash University,Clayton,SYDENHAM,40.368
230,Monash University,Clayton,MOONEE PONDS,25.179
231,Monash University,Clayton,ESSENDON,26.098
232,Monash University,Clayton,GLADSTONE PARK,33.492
233,Monash University,Clayton,TULLAMARINE,33.718
234,Monash University,Clayton,PASCOE VALE,27.025
235,Monash University,Clayton,PASCOE VALE SOUTH,25.658
236,Monash University,Clayton,GLENROY,30.308
237,Monash University,Clayton,OAK PARK,28.91
238,Monash University,Clayton,BROADMEADOWS,32.132
239,Monash University,Clayton,NORTH MELBOURNE,6.906
240,Monash University,Clayton,PARKVILLE,21.615
241,Monash University,Clayton,CARLTON,20.518
242,Monash University,Clayton,CARLTON NORTH,20.518
243,Monash University,Clayton,BRUNSWICK,23.669
244,Monash University,Clayton,COBURG,24.177
245,Monash University,Clayton,COBURG NORTH,25.006
246,Monash University,Clayton,FAWKNER,27.173
247,Monash University,Clayton,CRAIGIEBURN,39.084
248,Monash University,Clayton,ROXBURGH PARK,35.709
249,Monash University,Clayton,FITZROY,18.636
250,Monash University,Clayton,COLLINGWOOD,18.361
251,Monash University,Clayton,ABBOTSFORD,17.349
252,Monash University,Clayton,CLIFTON HILL,18.87
253,Monash University,Clayton,FITZROY NORTH,19.693
254,Monash University,Clayton,NORTHCOTE,20.269
255,Monash University,Clayton,THORNBURY,21.447
256,Monash University,Clayton,PRESTON,22.892
257,Monash University,Clayton,RESERVOIR,24.749
258,Monash University,Clayton,THOMASTOWN,28.195
259,Monash University,Clayton,LALOR,29.607
260,Monash University,Clayton,EPPING,32.716
261,Monash University,Clayton,ALPHINGTON,17.493
262,Monash University,Clayton,FAIRFIELD,18.448
263,Monash University,Clayton,IVANHOE,18.142
264,Monash University,Clayton,IVANHOE EAST,17.162
265,Monash University,Clayton,HEIDELBERG WEST,20.178
266,Monash University,Clayton,MILL PARK,28.279
267,Monash University,Clayton,BUNDOORA,24.436
268,Monash University,Clayton,HEIDELBERG,18.645
269,Monash University,Clayton,GREENSBOROUGH,23.61
270,Monash University,Clayton,MONTMORENCY,22.291
271,Monash University,Clayton,ELTHAM,22.463
272,Monash University,Clayton,RESEARCH,23.92
273,Monash University,Clayton,HURSTBRIDGE,31.056
274,Monash University,Clayton,KEW,14.843
275,Monash University,Clayton,BALWYN,12.602
276,Monash University,Clayton,BULLEEN,17.022
277,Monash University,Clayton,BULLEEN,17.022
278,Monash University,Clayton,TEMPLESTOWE,16.36
279,Monash University,Clayton,TEMPLESTOWE,16.36
280,Monash University,Clayton,DONCASTER,14.758
281,Monash University,Clayton,DONCASTER EAST,12.678
282,Monash University,Clayton,DONVALE,65.591
283,Monash University,Clayton,BURNLEY,14.875
284,Monash University,Clayton,RICHMOND,16.008
285,Monash University,Clayton,HAWTHORN,11.488
286,Monash University,Clayton,CAMBERWELL,12.087
287,Monash University,Clayton,BURWOOD,7.132
288,Monash University,Clayton,CANTERBURY,11.461
289,Monash University,Clayton,MONT ALBERT,10.777
290,Monash University,Clayton,SURREY HILLS,10.545
291,Monash University,Clayton,BOX HILL,10.968
292,Monash University,Clayton,BLACKBURN,10.82
293,Monash University,Clayton,FOREST HILL,9.48
294,Monash University,Clayton,NUNAWADING,11.22
295,Monash University,Clayton,MITCHAM,12.148
296,Monash University,Clayton,VERMONT,10.289
297,Monash University,Clayton,RINGWOOD,13.944
298,Monash University,Clayton,CROYDON,18.292
299,Monash University,Clayton,LILYDALE,25.872
300,Monash University,Clayton,SOUTH YARRA,15.227
301,Monash University,Clayton,TOORAK,13.047
302,Monash University,Clayton,ARMADALE,11.906
303,Monash University,Clayton,MALVERN,11.039
304,Monash University,Clayton,MALVERN EAST,7.115
305,Monash University,Clayton,GLEN IRIS,8.942
306,Monash University,Clayton,ASHBURTON,7.509
307,Monash University,Clayton,CHADSTONE,5.551
308,Monash University,Clayton,MOUNT WAVERLEY,4.483
309,Monash University,Clayton,GLEN WAVERLEY,5.059
310,Monash University,Clayton,BURWOOD EAST,6.352
311,Monash University,Clayton,WANTIRNA,11.206
312,Monash University,Clayton,BAYSWATER,14.28
313,Monash University,Clayton,BORONIA,13.819
314,Monash University,Clayton,FERNTREE GULLY,14.626
315,Monash University,Clayton,CAULFIELD,10.183
316,Monash University,Clayton,CARNEGIE,7.265
317,Monash University,Clayton,MURRUMBEENA,6.444
318,Monash University,Clayton,HUGHESDALE,5.495
319,Monash University,Clayton,OAKLEIGH,4.462
320,Monash University,Clayton,CLAYTON,1.695
321,Monash University,Clayton,MULGRAVE,5.775
322,Monash University,Clayton,SPRINGVALE,6.333
323,Monash University,Clayton,NOBLE PARK,6.867
324,Monash University,Clayton,DANDENONG,10.672
325,Monash University,Clayton,DANDENONG NORTH,8.43
326,Monash University,Clayton,ROWVILLE,9.051
327,Monash University,Clayton,SCORESBY,12.746
328,Monash University,Clayton,PRAHRAN,14.333
329,Monash University,Clayton,WINDSOR,14.09
330,Monash University,Clayton,ST KILDA,14.632
331,Monash University,Clayton,ELWOOD,13.431
332,Monash University,Clayton,ELSTERNWICK,11.903
333,Monash University,Clayton,BRIGHTON,12.501
334,Monash University,Clayton,BRIGHTON EAST,11.598
335,Monash University,Clayton,HAMPTON,12.654
336,Monash University,Clayton,CHELTENHAM,8.778
337,Monash University,Clayton,BEAUMARIS,11.884
338,Monash University,Clayton,MENTONE,9.662
339,Monash University,Clayton,ASPENDALE,12.692
340,Monash University,Clayton,MORDIALLOC,11.031
341,Monash University,Clayton,PARKDALE,10.027
342,Monash University,Clayton,CHELSEA,15.338
343,Monash University,Clayton,CARRUM,17.954
344,Monash University,Clayton,SEAFORD,21.708
345,Monash University,Clayton,FRANKSTON,25.59
346,Monash University,Clayton,CARRUM DOWNS,20.18
347,Monash University,Clayton,BENTLEIGH,8.66
348,Monash University,Clayton,SOUTH MELBOURNE,9.021
349,Monash University,Clayton,ALBERT PARK,17.73
350,Monash University,Clayton,MIDDLE PARK,16.535
351,Monash University,Clayton,PORT MELBOURNE,11.304
352,Monash University,Clayton,LARA,64.826
353,Monash University,Clayton,CORIO,70.278
354,Monash University,Clayton,NORTH GEELONG,72.673
355,Monash University,Clayton,BELMONT,75.179
356,Monash University,Clayton,GROVEDALE,77.798
357,Monash University,Clayton,GEELONG WEST,73.4
358,Monash University,Clayton,HERNE HILL,74.471
359,Monash University,Clayton,GEELONG,72.552
360,Monash University,Clayton,NEWTOWN,74.915
361,Monash University,Clayton,OCEAN GROVE,65.288
362,Monash University,Clayton,BARWON HEADS,69.447
363,Monash University,Clayton,TORQUAY,84.81
364,Monash University,Clayton,WARRNAMBOOL,237.839
365,Monash University,Clayton,HAMILTON,274.444
366,Monash University,Clayton,PORTLAND,314.257
367,Monash University,Clayton,MELTON,54.91
368,Monash University,Clayton,ALFREDTON,122.591
369,Monash University,Clayton,BALLARAT,118.488
370,Monash University,Clayton,MOUNT CLEAR,116.653
371,Monash University,Clayton,WENDOUREE,122.057
372,Monash University,Clayton,DELACOMBE,122.408
373,Monash University,Clayton,SEBASTOPOL,119.162
374,Monash University,Clayton,BUNINYONG,110.979
375,Monash University,Clayton,HORSHAM,291.869
376,Monash University,Clayton,SUNBURY,51.72
377,Monash University,Clayton,CASTLEMAINE,124.665
378,Monash University,Clayton,MILDURA,494.125
379,Monash University,Clayton,BENDIGO,149.311
380,Monash University,Clayton,FLORA HILL,147.33
381,Monash University,Clayton,NORTH BENDIGO,150.232
382,Monash University,Clayton,GOLDEN SQUARE,148.509
383,Monash University,Clayton,KANGAROO FLAT,147.315
384,Monash University,Clayton,ECHUCA,201.817
385,Monash University,Clayton,SWAN HILL,319.666
386,Monash University,Clayton,SHEPPARTON,172.389
387,Monash University,Clayton,SEYMOUR,99.071
388,Monash University,Clayton,BENALLA,172.221
389,Monash University,Clayton,WODONGA,252.425
390,Monash University,Clayton,WHITTLESEA,44.734
391,Monash University,Clayton,ENDEAVOUR HILLS,12.508
392,Monash University,Clayton,NARRE WARREN,19.576
393,Monash University,Clayton,BERWICK,22.493
394,Monash University,Clayton,PAKENHAM,36.324
395,Monash University,Clayton,WARRAGUL,75.109
396,Monash University,Clayton,MOE,103.314
397,Monash University,Clayton,NEWBOROUGH,105.503
398,Monash University,Clayton,MORWELL,116.458
399,Monash University,Clayton,TRARALGON,126.928
400,Monash University,Clayton,SALE,171.023
401,Monash University,Clayton,MAFFRA,161.758
402,Monash University,Clayton,BAIRNSDALE,219.466
403,Monash University,Clayton,HASTINGS,43.961
404,Monash University,Clayton,FLINDERS,63.019
405,Monash University,Clayton,MT ELIZA,30.523
406,Monash University,Clayton,MORNINGTON,36.481
407,Monash University,Clayton,MT MARTHA,44.777
408,Monash University,Clayton,DROMANA,48.867
409,Monash University,Clayton,PORTSEA,60.007
410,Monash University,Clayton,HAMPTON PARK,17.532
411,Monash University,Clayton,CRANBOURNE,24.809
412,RMIT University,City,CBD,0.945
413,RMIT University,City,EAST MELBOURNE,2.356
414,RMIT University,City,WEST MELBOURNE,1.961
415,RMIT University,City,SOUTHBANK,1.703
416,RMIT University,City,DOCKLANDS,1.531
417,RMIT University,City,FOOTSCRAY,5.68
418,RMIT University,City,SEDDON,5.965
419,RMIT University,City,WEST FOOTSCRAY,7.424
420,RMIT University,City,YARRAVILLE,6.528
421,RMIT University,City,NEWPORT,8.02
422,RMIT University,City,SPOTSWOOD,7.286
423,RMIT University,City,WILLIAMSTOWN,7.923
424,RMIT University,City,ALTONA,13.532
425,RMIT University,City,SUNSHINE,12.773
426,RMIT University,City,ST ALBANS,16.02
427,RMIT University,City,DEER PARK,17.114
428,RMIT University,City,HOPPERS CROSSING,24.563
429,RMIT University,City,WERRIBEE,28.874
430,RMIT University,City,FLEMINGTON,3.558
431,RMIT University,City,KENSINGTON,3.367
432,RMIT University,City,ASCOT VALE,5.024
433,RMIT University,City,KEILOR EAST,16.727
434,RMIT University,City,AVONDALE HEIGHTS,14.953
435,RMIT University,City,SYDENHAM,21.224
436,RMIT University,City,MOONEE PONDS,6.111
437,RMIT University,City,ESSENDON,7.161
438,RMIT University,City,GLADSTONE PARK,15.037
439,RMIT University,City,TULLAMARINE,15.277
440,RMIT University,City,PASCOE VALE,9.214
441,RMIT University,City,PASCOE VALE SOUTH,7.824
442,RMIT University,City,GLENROY,12.26
443,RMIT University,City,OAK PARK,10.713
444,RMIT University,City,BROADMEADOWS,14.652
445,RMIT University,City,NORTH MELBOURNE,13.62
446,RMIT University,City,PARKVILLE,2.573
447,RMIT University,City,CARLTON,2.705
448,RMIT University,City,CARLTON NORTH,2.705
449,RMIT University,City,BRUNSWICK,5.114
450,RMIT University,City,COBURG,7.231
451,RMIT University,City,COBURG NORTH,8.632
452,RMIT University,City,FAWKNER,8.015
453,RMIT University,City,CRAIGIEBURN,23.36
454,RMIT University,City,ROXBURGH PARK,19.26
455,RMIT University,City,FITZROY,1.608
456,RMIT University,City,COLLINGWOOD,2.026
457,RMIT University,City,ABBOTSFORD,3.196
458,RMIT University,City,CLIFTON HILL,3.369
459,RMIT University,City,FITZROY NORTH,3.332
460,RMIT University,City,NORTHCOTE,5.103
461,RMIT University,City,THORNBURY,6.673
462,RMIT University,City,PRESTON,8.387
463,RMIT University,City,RESERVOIR,10.856
464,RMIT University,City,THOMASTOWN,14.913
465,RMIT University,City,LALOR,16.53
466,RMIT University,City,EPPING,19.327
467,RMIT University,City,ALPHINGTON,6.7
468,RMIT University,City,FAIRFIELD,5.966
469,RMIT University,City,IVANHOE,8.097
470,RMIT University,City,IVANHOE EAST,9.321
471,RMIT University,City,HEIDELBERG WEST,9.479
472,RMIT University,City,MILL PARK,17.801
473,RMIT University,City,BUNDOORA,15.256
474,RMIT University,City,HEIDELBERG,10.801
475,RMIT University,City,GREENSBOROUGH,16.849
476,RMIT University,City,MONTMORENCY,17.342
477,RMIT University,City,ELTHAM,19.387
478,RMIT University,City,RESEARCH,22.387
479,RMIT University,City,HURSTBRIDGE,27.507
480,RMIT University,City,KEW,8.033
481,RMIT University,City,BALWYN,10.467
482,RMIT University,City,BULLEEN,11.133
483,RMIT University,City,BULLEEN,11.133
484,RMIT University,City,TEMPLESTOWE,14.282
485,RMIT University,City,TEMPLESTOWE,14.282
486,RMIT University,City,DONCASTER,14.281
487,RMIT University,City,DONCASTER EAST,20.359
488,RMIT University,City,DONVALE,60.313
489,RMIT University,City,BURNLEY,4.382
490,RMIT University,City,RICHMOND,3.364
491,RMIT University,City,HAWTHORN,8.357
492,RMIT University,City,CAMBERWELL,8.529
493,RMIT University,City,BURWOOD,17.313
494,RMIT University,City,CANTERBURY,9.823
495,RMIT University,City,MONT ALBERT,12.546
496,RMIT University,City,SURREY HILLS,11.944
497,RMIT University,City,BOX HILL,13.76
498,RMIT University,City,BLACKBURN,16.804
499,RMIT University,City,FOREST HILL,18.103
500,RMIT University,City,NUNAWADING,18.728
501,RMIT University,City,MITCHAM,20.287
502,RMIT University,City,VERMONT,20.583
503,RMIT University,City,RINGWOOD,23.232
504,RMIT University,City,CROYDON,27.935
505,RMIT University,City,LILYDALE,34.323
506,RMIT University,City,SOUTH YARRA,4.12
507,RMIT University,City,TOORAK,6.122
508,RMIT University,City,ARMADALE,7.489
509,RMIT University,City,MALVERN,8.253
510,RMIT University,City,MALVERN EAST,12.072
511,RMIT University,City,GLEN IRIS,10.505
512,RMIT University,City,ASHBURTON,11.921
513,RMIT University,City,CHADSTONE,13.629
514,RMIT University,City,MOUNT WAVERLEY,16.326
