postcode,Suburb,lat,lon,Food Services,Total_businesses,convenient_level,food_service_level,Region,Average_per_person,House_rent
3064,CRAIGIEBURN,-37.598975,144.941287,123,2801,4,4,North Western Melbourne,162,122
3064,ROXBURGH PARK,-37.636795,144.932604,51,1444,3,2,North Western Melbourne,170,119
3065,FITZROY,-37.800917,144.979165,194,2068,3,4,Inner Melbourne,295,276
3066,COLLINGWOOD,-37.800366,144.984149,109,2037,3,3,Inner Melbourne,265,250
3067,ABBOTSFORD,-37.801781,144.998752,87,1546,3,3,Inner Melbourne,265,250
3068,CLIFTON HILL,-37.788118,144.992067,,,3,3,Inner Melbourne,245,253
3068,FITZROY NORTH,-37.7834,144.984688,66,1311,3,3,Inner Melbourne,245,253
3070,NORTHCOTE,-37.769857,144.995276,123,2091,3,4,North Eastern Melbourne,242,226
3071,THORNBURY,-37.75504,144.998589,85,1518,3,3,North Eastern Melbourne,200,197
3072,PRESTON,-37.738736,145.000515,144,3221,4,4,North Eastern Melbourne,199,163
3073,RESERVOIR,-37.716897,145.006985,148,3511,4,4,North Eastern Melbourne,175,133
3074,THOMASTOWN,-37.680338,145.014287,56,2682,4,3,North Eastern Melbourne,162,120
3075,LALOR,-37.665857,145.017194,64,1303,3,3,North Eastern Melbourne,162,120
3076,EPPING,-37.638363,145.009493,112,2284,3,3,North Eastern Melbourne,162,123
3078,ALPHINGTON,-37.780767,145.03116,54,1074,2,3,North Eastern Melbourne,212,213
3078,FAIRFIELD,-37.776946,145.018479,,,3,3,North Eastern Melbourne,212,213
3079,IVANHOE,-37.76964,145.041425,59,1372,3,3,North Eastern Melbourne,210,193
3079,IVANHOE EAST,-37.77283,145.059401,27,1133,2,2,North Eastern Melbourne,210,193
3081,HEIDELBERG WEST,-37.74944,145.0414,,,3,3,North Eastern Melbourne,196,143
3082,MILL PARK,-37.667957,145.060693,84,1888,3,3,North Eastern Melbourne,162,123
3083,BUNDOORA,-37.70132,145.071967,103,1852,3,3,North Eastern Melbourne,178,133
3084,HEIDELBERG,-37.756341,145.067145,115,2837,4,3,North Eastern Melbourne,196,143
3088,GREENSBOROUGH,-37.704622,145.103024,46,1621,3,2,North Eastern Melbourne,178,133
3094,MONTMORENCY,-37.715294,145.121583,36,1424,3,2,North Eastern Melbourne,184,153
3095,ELTHAM,-37.71383,145.148537,61,2339,4,3,North Eastern Melbourne,184,153
3095,RESEARCH,-37.703602,145.180636,13,878,2,1,North Eastern Melbourne,184,153
3099,HURSTBRIDGE,-37.640166,145.192477,16,356,1,1,North Eastern Melbourne,178,133
3101,KEW,-37.797982,145.053727,158,4011,4,4,Inner Eastern Melbourne,212,219
3103,BALWYN,-37.809701,145.082303,128,2623,4,4,Inner Eastern Melbourne,212,183
3105,BULLEEN,-37.768554,145.079543,52,1283,3,3,Inner Eastern Melbourne,219,159
3105,BULLEEN,-37.768554,145.079543,52,1283,3,3,Inner Eastern Melbourne,219,159
3106,TEMPLESTOWE,-37.768882,145.117873,130,2253,3,4,Inner Eastern Melbourne,219,159
3106,TEMPLESTOWE,-37.768882,145.117873,130,2253,3,4,Inner Eastern Melbourne,219,159
3108,DONCASTER,-37.783031,145.122517,128,2379,4,4,Inner Eastern Melbourne,219,159
3109,DONCASTER EAST,-37.811994,145.19474,177,3030,4,4,Inner Eastern Melbourne,204,151
3111,DONVALE,-38.183899,144.468019,42,1858,3,2,Inner Eastern Melbourne,204,151
3121,BURNLEY,-37.826869,145.007098,,,3,3,Inner Melbourne,275,258
3121,RICHMOND,-37.818587,144.999181,371,6040,4,4,Inner Melbourne,275,258
3122,HAWTHORN,-37.834855,145.052097,158,3485,4,4,Inner Eastern Melbourne,225,238
3124,CAMBERWELL,-37.824818,145.057957,104,3318,4,3,Inner Eastern Melbourne,223,218
3125,BURWOOD,-37.852805,145.151909,57,1121,2,3,Inner Eastern Melbourne,222,166
3126,CANTERBURY,-37.824249,145.073114,,,3,3,Inner Eastern Melbourne,215,212
3127,MONT ALBERT,-37.821232,145.104996,30,1108,2,2,Inner Eastern Melbourne,215,212
3127,SURREY HILLS,-37.825077,145.097412,114,3653,4,3,Inner Eastern Melbourne,215,212
3128,BOX HILL,-37.817455,145.119314,178,2666,4,4,Inner Eastern Melbourne,225,155
3130,BLACKBURN,-37.819374,145.153852,88,2555,4,3,Inner Eastern Melbourne,200,150
3131,FOREST HILL,-37.834099,145.166527,62,841,2,3,Inner Eastern Melbourne,191,147
3131,NUNAWADING,-37.820037,145.175726,42,1224,2,2,Inner Eastern Melbourne,192,144
3132,MITCHAM,-37.816878,145.193712,,,3,3,Inner Eastern Melbourne,192,144
3133,VERMONT,-37.836235,145.194651,39,923,2,2,Inner Eastern Melbourne,191,147
3134,RINGWOOD,-37.81402,145.227362,80,1886,3,3,Outer Eastern Melbourne,177,139
3136,CROYDON,-37.798729,145.280685,119,3817,4,4,Outer Eastern Melbourne,175,134
3140,LILYDALE,-37.755519,145.347707,72,1901,3,3,Outer Eastern Melbourne,175,134
3141,SOUTH YARRA,-37.837883,144.991123,279,5877,4,4,Inner Melbourne,277,307
3142,TOORAK,-37.84216,145.017966,61,2927,4,3,Inner Melbourne,248,361
3143,ARMADALE,-37.85934,145.018505,75,1765,3,3,Inner Melbourne,250,304
3144,MALVERN,-37.861427,145.028508,196,5799,4,4,Southern Melbourne,228,267
3145,MALVERN EAST,-37.87837,145.067892,,,3,3,Southern Melbourne,216,200
